epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.574,1.01923,1.12173,1.49388,0.87643,0.79146,0.87765,0.51022,1.41252,1.02433,2.13278,0.000665767,0.000665767,0.000665767
2,181.464,1.04331,0.85891,1.50708,0.90533,0.84171,0.91634,0.55288,1.23309,0.83835,1.93249,0.00130605,0.00130605,0.00130605
3,264.389,1.01496,0.79016,1.48093,0.87974,0.84545,0.90906,0.49008,1.49077,0.88234,2.24892,0.00191994,0.00191994,0.00191994
4,346.287,0.97989,0.75002,1.44679,0.9478,0.86809,0.95066,0.65583,1.00346,0.68837,1.61503,0.0018812,0.0018812,0.0018812
5,437.36,0.92035,0.68673,1.40401,0.92433,0.87475,0.95037,0.67274,1.00774,0.63476,1.60977,0.0018416,0.0018416,0.0018416
6,523.627,0.89299,0.65176,1.38253,0.95495,0.89824,0.961,0.72205,0.87468,0.50701,1.50178,0.001802,0.001802,0.001802
7,605.018,0.87736,0.63222,1.36639,0.95749,0.90452,0.96484,0.71392,0.90483,0.50513,1.52201,0.0017624,0.0017624,0.0017624
8,686.494,0.86156,0.61477,1.35202,0.95082,0.8987,0.96077,0.7235,0.85465,0.53715,1.48341,0.0017228,0.0017228,0.0017228
9,769.042,0.83645,0.59409,1.33526,0.97169,0.90556,0.97153,0.74533,0.84813,0.47702,1.44249,0.0016832,0.0016832,0.0016832
10,851.839,0.83042,0.58576,1.32785,0.97148,0.89573,0.96677,0.74438,0.83097,0.48704,1.43573,0.0016436,0.0016436,0.0016436
11,934.403,0.8175,0.57319,1.31905,0.95786,0.91372,0.97355,0.74955,0.80557,0.46771,1.41102,0.001604,0.001604,0.001604
12,1017.23,0.80458,0.55531,1.30948,0.96693,0.91842,0.97688,0.74669,0.8351,0.44303,1.43749,0.0015644,0.0015644,0.0015644
13,1099.39,0.79331,0.55082,1.30299,0.96738,0.91457,0.97739,0.76226,0.77746,0.43737,1.38832,0.0015248,0.0015248,0.0015248
14,1181.25,0.78444,0.53938,1.2966,0.9741,0.90201,0.97585,0.76575,0.76055,0.42969,1.35751,0.0014852,0.0014852,0.0014852
15,1276.16,0.76728,0.52297,1.27954,0.97347,0.92198,0.97938,0.76112,0.78485,0.42383,1.37461,0.0014456,0.0014456,0.0014456
16,1370.4,0.76452,0.51821,1.27782,0.98244,0.91376,0.97397,0.77115,0.74916,0.41389,1.33964,0.001406,0.001406,0.001406
17,1463.66,0.76409,0.51687,1.27573,0.97581,0.91209,0.97872,0.778,0.74111,0.40643,1.33901,0.0013664,0.0013664,0.0013664
18,1544.44,0.74692,0.49944,1.26519,0.9637,0.92714,0.98007,0.77883,0.74049,0.40967,1.33319,0.0013268,0.0013268,0.0013268
19,1625.55,0.74241,0.49994,1.26241,0.98501,0.9081,0.97692,0.78318,0.72652,0.40399,1.32621,0.0012872,0.0012872,0.0012872
20,1726.09,0.73392,0.49458,1.25674,0.96587,0.92965,0.98169,0.78573,0.7243,0.39086,1.32186,0.0012476,0.0012476,0.0012476
21,1834.97,0.72763,0.48633,1.25252,0.9788,0.92783,0.98124,0.79487,0.70914,0.37886,1.31443,0.001208,0.001208,0.001208
22,1921.72,0.7214,0.4791,1.24672,0.97483,0.9244,0.98026,0.77975,0.73426,0.4041,1.32607,0.0011684,0.0011684,0.0011684
23,2003.75,0.71797,0.47316,1.24557,0.9685,0.94095,0.98207,0.78613,0.70852,0.38331,1.3053,0.0011288,0.0011288,0.0011288
24,2084.93,0.70646,0.46915,1.23453,0.96842,0.92464,0.98129,0.7888,0.70681,0.38365,1.29858,0.0010892,0.0010892,0.0010892
25,2166.55,0.70532,0.46268,1.23447,0.97553,0.9196,0.97905,0.79004,0.70962,0.39117,1.31066,0.0010496,0.0010496,0.0010496
26,2248.21,0.69598,0.45875,1.22938,0.98009,0.92746,0.98142,0.79665,0.68818,0.37556,1.29715,0.00101,0.00101,0.00101
27,2330.87,0.69333,0.45155,1.22367,0.97689,0.93342,0.98256,0.79756,0.67654,0.37296,1.26962,0.0009704,0.0009704,0.0009704
28,2412.64,0.68036,0.45002,1.21856,0.96589,0.92965,0.98074,0.79524,0.69532,0.38826,1.28322,0.0009308,0.0009308,0.0009308
29,2516.25,0.68031,0.44562,1.21784,0.9613,0.94221,0.98188,0.80063,0.67727,0.36838,1.26755,0.0008912,0.0008912,0.0008912
30,2614.03,0.67524,0.44157,1.21168,0.95337,0.95101,0.98322,0.81087,0.67431,0.36051,1.26728,0.0008516,0.0008516,0.0008516
31,2697.92,0.6702,0.43652,1.2072,0.96862,0.93059,0.9816,0.80547,0.6744,0.38247,1.26606,0.000812,0.000812,0.000812
32,2781.07,0.66319,0.42958,1.20467,0.94944,0.95226,0.98004,0.80465,0.66705,0.37621,1.2624,0.0007724,0.0007724,0.0007724
33,2871.04,0.65221,0.42239,1.19805,0.96615,0.93342,0.98235,0.80961,0.65868,0.37296,1.25612,0.0007328,0.0007328,0.0007328
34,2963.09,0.65011,0.41662,1.19294,0.94536,0.95635,0.98145,0.80977,0.66089,0.3632,1.25868,0.0006932,0.0006932,0.0006932
35,3045.4,0.64722,0.41902,1.1916,0.96746,0.93388,0.98003,0.81637,0.64817,0.35894,1.25122,0.0006536,0.0006536,0.0006536
36,3130.73,0.64235,0.41379,1.1873,0.95293,0.95477,0.98258,0.81261,0.66402,0.35184,1.27156,0.000614,0.000614,0.000614
37,3216.76,0.63151,0.40255,1.18101,0.95675,0.94598,0.98293,0.8191,0.6568,0.35318,1.25528,0.0005744,0.0005744,0.0005744
38,3301.39,0.63434,0.40592,1.18491,0.9474,0.95477,0.98118,0.81855,0.6535,0.35803,1.24974,0.0005348,0.0005348,0.0005348
39,3389.43,0.62798,0.40202,1.17517,0.96153,0.94195,0.98272,0.815,0.66187,0.35178,1.25627,0.0004952,0.0004952,0.0004952
40,3479.8,0.62344,0.39611,1.1756,0.97122,0.93262,0.98293,0.81808,0.64974,0.3504,1.25078,0.0004556,0.0004556,0.0004556
41,3590.39,0.50639,0.29136,1.16559,0.97456,0.93216,0.97997,0.82116,0.65609,0.35481,1.2599,0.000416,0.000416,0.000416
42,3681.83,0.49658,0.28323,1.15937,0.96194,0.94724,0.98233,0.82312,0.64972,0.34299,1.25324,0.0003764,0.0003764,0.0003764
43,3770.77,0.48165,0.27255,1.14669,0.9644,0.95296,0.98262,0.83224,0.65053,0.33621,1.25664,0.0003368,0.0003368,0.0003368
44,3856.62,0.47695,0.27093,1.14022,0.97062,0.93593,0.98232,0.83032,0.65412,0.33518,1.26251,0.0002972,0.0002972,0.0002972
45,3941.6,0.46306,0.26158,1.12578,0.97358,0.93844,0.98206,0.83285,0.6467,0.33434,1.25898,0.0002576,0.0002576,0.0002576
46,4022.76,0.45636,0.25388,1.11929,0.9594,0.95001,0.98145,0.83135,0.64893,0.34202,1.26278,0.000218,0.000218,0.000218
47,4105.42,0.44806,0.24839,1.11852,0.9642,0.94744,0.9811,0.83246,0.65212,0.33943,1.26415,0.0001784,0.0001784,0.0001784
48,4187.44,0.44411,0.24586,1.10873,0.96573,0.95586,0.98169,0.83326,0.652,0.33717,1.26461,0.0001388,0.0001388,0.0001388
49,4268.77,0.44035,0.24256,1.10891,0.96533,0.95477,0.98184,0.83336,0.64773,0.33552,1.26308,9.92e-05,9.92e-05,9.92e-05
50,4350.97,0.43269,0.23842,1.10112,0.9632,0.9536,0.98213,0.83757,0.64918,0.33655,1.26552,5.96e-05,5.96e-05,5.96e-05
